Hamil Kidde,10/19/1999,323718.51,35,0d34a614-7908-4442-aecb-f1e8d446bf02
Gallagher Swatridge,10/24/1957,178149.36,50,3e689b77-3605-44a2-bc36-ceae7d9cfb00
Yanaton Galvan,01/30/1972,40356.63,8,8c2b7270-2e6f-4bfc-bf28-6ec1993ccea0
Worthy Dredge,05/07/1978,635684.18,37,8bd73ac1-c901-4d85-8a8b-b43005848efa
Mareah Whiffin,02/11/1986,539595.82,53,8e0fbe92-3dbd-4335-aa78-bfede412a916
Dorian Orts,08/27/2000,3416.63,58,90f705f1-5c8f-4bd9-a055-e45f189fc139
Graig Maltman,04/12/2001,175375.76,54,51e133f0-2cba-43c7-a1f8-c06fed7105c7
Katee Masden,05/19/1971,437067.9,22,f229ae66-13ff-4195-9177-41f727e5dcc9
Jordon Ovendale,01/02/1972,242813.18,58,965f1eb8-22c9-459b-993b-34b5c2156938
Lynelle Claybourn,05/07/1954,875190.32,53,3af502ed-e8b8-4ebd-877a-2e93e700d774
Amelita Brazur,06/03/1966,653398.58,29,84bfab1a-e3cc-48fd-af38-e1817423aa2c
Bartolomeo Schott,07/24/1960,26093.89,59,105984bf-eb52-4839-8033-2a6017a9a962
Perri Parlet,03/06/1960,663023.93,52,dc12df89-7c8e-4e1c-9678-4fc6737fe1b2
Hayyim Bande,11/05/1973,451767.1,31,c39c919c-0960-476f-9a21-6a3d26e39fa1
De witt Dunlop,03/21/1983,402469.18,46,efe246cd-d523-46ae-a327-f0341160091d
Arliene Cotterell,10/12/1971,717021.57,48,ade62f17-e9d7-4019-9619-a1e463e10873
Saudra Matthiae,05/01/1983,943685.0,56,15459f56-a23e-448a-aaec-c5c8d02bc4e4
Edie Shepley,01/13/1983,106681.77,46,c960d44f-c8a0-4439-8999-a9655d34a176
Janeta Ivanikhin,04/13/1985,120709.86,3,f54f8b2a-e610-4a74-b67a-9c0fb4bdd272
Giorgia Poulsom,02/06/1955,748330.45,7,94b9ad22-f8e3-4736-8abd-54bcd591e8ce
Alberto Blasdale,08/09/1967,130931.01,60,fa0f916a-fd7b-4f49-aa09-af31c593a330
Ginevra Pedri,12/01/1958,264709.41,24,ab567a4c-a566-46e0-a345-b96445a251ed
Hyacintha Fulle,10/18/1974,996516.55,25,007232d4-83ee-4655-a2f5-afb40f90db3e
Fraser Castledine,08/19/1990,927161.44,25,0f20eecc-6711-4218-8762-d2e192a55803
Kimbra Lamplugh,05/23/1971,345223.52,14,28d52167-01ef-4565-9302-2bebe1e17a5a
Elisabetta Wardell,03/09/1990,118094.95,22,1e4aae48-fe95-42cf-ab64-67095f867484
Ezra Clack,08/18/1999,626662.2,27,56e539fc-cc12-44fc-8c21-8a038f3060f9
Clementina Demann,11/03/1956,60674.85,51,5596dec9-3d9f-42f0-84d2-db7e13005677
