Irene Boat,1963-02-22,291199.61,2
Pamelina Toland,1962-08-10,665151.47,12
Rogerio Berka,1974-01-20,837032.45,8
Audre Dewberry,1975-05-15,761343.77,47
Salome Oxteby,1971-05-31,844881.45,18
Virge Praundlin,1983-12-25,8102.17,53
Zorine De la Feld,1992-11-27,263699.28,2
Rheta Kenewell,1990-10-27,752578.23,44
Marie Postians,1991-07-19,60386.89,3
Alf Steinor,1985-02-23,466207.0,36
Saba De Coursey,1976-07-13,885649.13,21
Alessandra Ryder,1992-12-29,795323.55,45
Fabien Dockrey,1951-02-07,553546.81,1
Zarah Maliffe,1979-05-27,561237.06,14
Hermy Hullett,1996-06-30,489905.0,54
Nydia Daniello,1984-04-17,2042.54,24
Pippa Manthorpe,1973-09-08,827144.36,40
Jamesy Dodswell,1967-07-15,835231.65,7
Delphinia Seman,2001-05-19,363751.82,55
Austin Swadlinge,1969-03-28,137186.67,12
Aeriela Gerrets,1983-04-20,212421.95,60
Ami Giovannacci,1991-05-17,18390.16,55
Barde Skurray,1966-09-21,278047.42,43
Kala Blayd,1975-12-27,394669.75,32
Zorina McCrostie,1981-03-12,135253.36,4
Gallard Linwood,1992-02-07,869518.17,25
Bradney McClymont,1974-07-04,60658.75,37
Jeffrey Mathwin,1978-03-31,368862.58,53
Marje Kearley,1975-08-08,195334.5,25
Xenos Winney,1966-01-14,576998.11,8
Datha Giorgielli,1975-01-28,725927.85,32
Thorsten McAsgill,1959-04-08,138129.66,42
Nicole Vassel,1990-11-18,243594.64,1
Jolee Wilstead,1987-01-12,686132.86,24
Raleigh Fussie,1979-03-12,16511.58,52
Gunar Chong,1964-01-10,845779.42,45
Gradey Hale,1997-12-16,652598.83,29
Hayden Dignon,1985-01-18,275305.83,24
Juline Tute,1953-10-13,892541.01,49
Hildagarde Aulds,1954-04-01,214239.68,7
Kacey Bontoft,1960-09-29,40599.66,8
Theodora Geer,1977-06-29,337067.74,9
Celie Mowbray,1984-12-21,900464.11,18
Dionne Chesworth,1981-01-21,412342.74,9
Aida Corona,1971-09-09,487760.64,58
Sonja Cleevely,1975-11-17,151833.89,19
De Popworth,1988-11-26,727299.0,32
Rockwell Dahlberg,1977-11-23,632810.36,21
Luca Puddifer,1962-02-04,27640.99,58
Renata Oleszcuk,1972-10-28,580271.68,48
Yehudi O'Collopy,1995-01-25,543903.32,2
Braden Murr,1975-08-06,456560.66,18
Zonda Casajuana,1985-02-14,57187.84,2
Verney Holhouse,1982-03-10,177206.54,25
Harvey Yakuntzov,1959-02-10,414836.23,48
Bobbee Caroline,1988-10-25,565647.03,1
Steffane Warsap,1973-02-23,833239.42,60
Abagael Widdocks,1972-11-20,567047.48,59
Alissa Kubicki,1964-05-19,403546.27,59
Frederique Fligg,1973-08-19,575571.31,50
Millicent Djorevic,1971-08-11,458082.35,40
Dorthea Crosscombe,1998-11-06,198737.37,35
Hertha Crush,2000-01-05,367107.89,6
Chen Earie,1995-02-15,660765.77,25
Madelene Bowhey,1993-10-27,388972.46,50
Serge Blakelock,1985-11-16,988378.85,13
Otis Christauffour,1982-10-20,563043.09,18
Joleen Ponde,1987-06-13,487666.81,9
Steffen Arnli,1968-05-25,433594.07,16
Nonna Kenton,1995-08-23,116444.67,15
Damian Formby,1968-01-25,971372.28,27
Quintina Wakeling,1968-10-01,6684.59,11
Claudian Lamb,1987-09-08,687086.15,48
Yehudi McTeer,1995-08-21,278141.65,12
Danie Lampel,1972-11-13,194520.55,51
Constantia O'Garmen,1951-09-03,239883.35,58
Alameda Physick,1996-05-30,861624.97,7
Gregoor Picopp,1970-02-27,209212.3,38
Lilli Baguley,1969-06-20,208759.58,25
Lucio Liggins,1972-01-26,763103.0,43
Devora Rivers,1987-09-14,108644.36,19
Hershel Gautrey,1956-11-11,625229.46,42
Zeb Champe,1960-07-07,382546.36,6
Leanora Badsey,1996-02-16,334385.66,8
Fran Coite,1955-02-01,677915.9,21
Alvy Cooke,1956-10-05,447455.17,44
Ty Bengtsson,1982-05-06,810438.34,3
Horatio Pyrton,1996-03-13,121162.82,21
Francesca Oswell,1995-02-05,664725.71,54
Faunie Stanier,1992-11-09,398130.15,24
Leann Petlyura,1985-01-16,186300.94,54
Brooke Slisby,1962-07-19,81443.81,9
Man O'Longain,1964-03-28,776880.47,24
Hilly MacDonald,1986-10-02,728375.08,24
Dina Nickell,1989-11-08,628109.85,18
Cy Jamrowicz,1954-10-12,112607.25,39
Legra Bonnell,1950-11-02,441123.37,51
Alric Bickerstaffe,1965-01-04,144852.46,55
Gian Borrott,1967-11-03,930203.45,6
Yorker Boecke,1955-04-05,220286.78,10
Devonne Glanert,1997-11-22,456418.12,55
Cleve Easterling,1973-06-06,455254.97,45
Rene Nowill,1992-09-21,524245.99,24
Karney Tresise,1977-04-03,835267.62,37
Padraic Insoll,1971-08-14,569210.34,24
Darill Clooney,1992-10-29,750440.24,19
Nealson Arnley,1974-11-16,466979.54,52
Caressa Yitzhakof,1981-02-08,691370.09,13
Giana Prestage,1985-04-29,794522.17,60
Shanie Cheese,1995-10-28,510577.4,5
Roxane Canape,1967-01-31,376792.62,11
Thomasina Wagner,1971-03-05,981157.66,44
Rosalynd Kellick,1974-01-19,68017.57,19
Burr Lorentz,1986-06-05,573909.33,20
Betsey Taffie,1971-01-27,362113.86,38
Susette Ecclestone,1994-01-31,562263.38,57
Marve Brandenberg,1982-01-09,679658.74,14
Boot Sherebrooke,1988-02-21,752916.46,8
Cristen Filgate,1980-09-20,276688.5,33
Aeriell Faunch,1992-04-07,30867.5,43
Camile Phant,1983-12-19,33597.12,53
Silvie Serginson,1984-06-29,138901.53,31
Rodolphe Muckleston,1974-12-27,83865.27,21
Etheline McCafferky,1971-12-05,475361.95,6
Leland Nitto,1989-09-15,108986.76,26
Burt Brisley,1951-02-02,262556.99,41
Monty Savil,1998-05-06,518222.77,1
Sharona Gervaise,1981-10-20,885419.1,18
Bord Sacher,1995-08-21,579033.42,44
Adriane Follett,1955-08-30,635598.35,27
Earle Satterly,1962-09-14,573076.48,54
