Corny Brixey,22/07/1981,79606.46,59
Konstantin Omrod,22/07/1981,98245.5,0
Aurea Mirralls,26/08/1972,67924.12,10
Cammy Knott,21/03/1994,31983.9,54
Olag Woollons,10/05/1976,3957.37,6
Woodie Tregenza,10/06/1991,83915.94,32
Devland Sam,11/09/1981,70702.07,29
Merle Medina,01/04/1991,73726.56,38
Moore Bartomeu,10/10/1989,6324.02,56
Jacquelin Iacapucci,26/09/1996,67337.1,25
Lexie Maltster,31/08/1992,53290.84,17
Neddie Copyn,14/03/1997,58505.54,32
Ellissa Drains,22/03/1982,18873.01,59
Vernen Lago,02/10/1972,68371.72,9
Patrice Liepins,02/11/1971,17847.51,46
Guillemette Espinal,30/07/1976,75439.09,55
Ami Lofthouse,24/12/1973,81380.49,3
Homerus Osgerby,03/01/1993,4809.13,54
Maurice Lampel,01/09/1992,19113.57,9
Nicko Bonafacino,12/04/1982,72677.19,5
Alica Braidford,27/11/1994,41646.29,14
Gay Acott,18/12/1998,41926.59,43
Frederich Otter,16/05/1992,44483.35,56
Dedie Cassell,01/12/1996,30768.69,31
Carline Maple,04/07/1997,76229.59,8
Reggie Rolfini,25/01/1987,89753.02,54
Elton Janoch,17/04/1974,57220.82,21
Andrus Bolle,15/01/1993,37141.63,44
Nye Bainbridge,06/04/1997,81754,3
Renell Braganca,18/05/1977,37793.66,33
Meta Cogzell,05/07/1989,18650.24,14
Cordey Hughlock,21/08/1990,44954.51,53
Aldous Pulfer,11/12/1977,58555.41,56
Gram Jiruca,27/01/1991,46453.78,50
Sancho O'Luby,29/01/1990,36094.85,43
Robin Parmeter,17/06/1986,19991.54,53
Angelo Skirvin,08/12/1983,82227,17
Dewie Pullan,23/09/2000,41090.77,49
Paul Hinchon,25/09/1984,70802.79,54
Eada Wiggington,08/06/1980,40444.36,46
Hazel Guage,20/11/1982,96149.07,33
Albertine Davidou,19/05/1992,60337.03,52
Jerrilee Locock,21/10/1982,83308.18,22
Brok Blinco,21/04/1997,21410.87,39
Petronille Roe,22/04/1993,83697.45,50
Woodman Spoole,22/10/1972,94129.18,50
Trina Parkhouse,09/01/1979,15461.73,9
Will Lillo,07/05/1992,19341.64,29
Ike Aguirrezabal,28/09/1983,94444.28,27
Jedidiah Gerrelt,24/02/1986,95265.8,38
Maribeth Klesl,22/08/1994,10625.93,33
Gian Harkness,03/07/1972,7594.73,18
Georgia Gutteridge,09/08/1976,42684.74,12
Jimmie Stiven,28/05/1975,67047.36,51
Jessica Matyugin,07/04/1997,2634.95,46
Benedikt Bonnier,13/07/1978,92482.73,29
Shannan Kingerby,19/10/1990,65933.38,7
Liliane Madelin,04/12/1975,44890.76,23
Francesca Brice,02/03/1983,31214.93,33
Alessandro Tournay,29/07/1990,85560.49,42
Iosep Dovington,31/01/1995,76266.78,58
Gratia Dytham,23/02/1980,2567.83,6
Michell Enser,20/05/1986,83835.54,21
Dixie Oats,18/01/1994,4816.11,36
Clevey Dongate,09/06/1982,49755.69,28
Auguste Dooly,21/08/1987,99216.35,3
Latia Pechard,03/09/1994,38950.49,25
Monique Saynor,11/05/1976,16597.6,26
Levi MacAlpin,21/04/1985,76370.93,47
Jessa Vanyutin,10/07/1991,72312.21,10
Reggy Howsan,18/03/1982,47955.78,41
Roselia Giffard,10/03/1997,5185.4,37
Hyatt Leyshon,26/01/1987,33277.62,60
Duffie Flockhart,26/03/1980,61295.09,15
Trevar Romayn,04/11/1997,46911.92,6
Merridie Seeman,08/02/1979,45521.4,57
Mac Pepin,11/10/1991,14795.55,44
Zachery Sobey,14/05/1981,39219.72,41
Mauricio Shropshire,09/12/1989,8770.64,32
Layla Fetherstan,19/06/1998,30537.63,52
Bendite Woolpert,20/02/1989,38528.99,40
Court Brightey,13/08/1986,134.19,55
Cchaddie Poytress,12/09/1988,84444.52,0
Carree Ficken,28/09/1976,41908.9,56
Urbanus Nutkins,08/04/1996,82163.11,43
Catarina Thresh,06/07/1981,93476.7,44
Silva Craigs,20/05/1979,19386.93,33
Ingrim Sloss,20/10/1983,28674.88,60
Hilly Joscelyne,21/09/1996,44249.17,14
Carleton Corkhill,21/12/1977,35065.25,18
Peder Van Weedenburg,15/05/1973,68814.59,58
Emlyn Molohan,06/09/1981,945.05,26
Jonis Goadsby,29/12/1994,99083.26,36
Herrick Verrick,16/06/1973,46337.95,14
Delphinia Mizzen,14/12/1983,57181.16,53
Matias Cuzen,06/06/1977,40873.6,47
Kendra Dorman,17/04/1994,43684.6,44
Marcella Zannotti,22/01/1991,14849.19,55
Demetria Garrett,06/10/1980,79731.41,7
Jeannette Salan,28/04/1992,11345.84,25
Allyson Cours,08/08/1981,45767.08,17
Kendre Gostick,01/09/1981,59999.29,57
Archie Haggath,09/11/1987,34808.83,58
Dana Keach,13/09/1976,72727.15,12
Valaria Douty,28/04/1988,66224.48,40
